# t (s)	mx ()	my ()	mz ()	Ku1.region100 (J/m3)	Dind.region100 (J/m2)
1.1632500787214511e-07	5.4599676e-09	-9.221278e-09	0.92160344	834197.2	0.003212648
1.1633002033816367e-07	6.6126273e-09	2.9119827e-09	0.9172376	832529.06	0.0032151463
1.1633500720631043e-07	-2.3659859e-09	6.794626e-09	0.91299653	830358	0.0032175982
1.1634001954674597e-07	-5.186969e-09	-1.9413218e-09	0.90925944	827695.9	0.0032200282
1.1634500615857509e-07	-2.7299837e-10	-3.8826435e-09	0.9062239	824611.75	0.0032224113
1.1635001808727866e-07	5.2628017e-09	-4.8533044e-09	0.90413964	821123.2	0.0032247708
1.1635500458229633e-07	7.810787e-09	3.8826435e-09	0.9029008	817319.94	0.0032270835
1.163600169860138e-07	-9.858274e-09	6.794626e-09	0.9021512	813223.2	0.0032293717
1.1636500412451621e-07	-8.781448e-09	-1.26185915e-08	0.9017052	808939.1	0.0032316125
1.163700173147047e-07	1.173893e-08	-6.3092958e-09	0.9011476	804491.25	0.003233829
1.163750051013173e-07	4.9898037e-09	8.735948e-09	0.90002203	799995.44	0.0032359965
1.1638001842374225e-07	-1.1238433e-08	4.8533044e-10	0.89806163	795476.6	0.003238138
1.1638500612518925e-07	1.8199892e-09	-1.11626e-08	0.8951499	791051.9	0.0032402305
1.1639001947764605e-07	9.949274e-09	4.8533044e-10	0.8910359	786746.25	0.0032422969
1.1639500735701788e-07	6.0666305e-11	1.0191939e-08	0.885818	782670.6	0.0032443139
1.1640002118229174e-07	-8.553949e-09	-9.706609e-10	0.8797101	778848.1	0.0032463034
1.1640500982826073e-07	-1.8199892e-09	-6.5519608e-09	0.87287974	775377.56	0.003248243
1.1641002409801607e-07	2.79065e-09	-5.0959694e-09	0.865548	772279	0.0032501535
1.1641501281437202e-07	5.6722995e-09	-4.8533044e-10	0.8582153	769632.25	0.0032520157
1.1642000150241161e-07	4.049476e-09	5.8239653e-09	0.8511411	767462.44	0.0032538378
1.164250156067135e-07	-1.1268766e-08	3.6399783e-09	0.8445404	765796.25	0.003255628
1.1643000436373828e-07	-1.2861257e-08	-1.2133261e-08	0.83884305	764676.9	0.0032573703
1.16435018945356e-07	4.944304e-09	-1.7957227e-08	0.83431226	764110.5	0.0032590802
1.1644000827249663e-07	7.128291e-09	-1.2133261e-09	0.831082	764112.06	0.0032607405
1.1644502314348344e-07	-1.3801584e-09	-7.2799566e-10	0.829322	764681.56	0.0032623683
1.164500124164887e-07	1.895822e-09	-9.706609e-10	0.8292446	765804	0.0032639462
1.1645500157846086e-07	-2.5934845e-09	-7.2799566e-10	0.83079845	767463.56	0.0032654828
1.1646001628055749e-07	-1.0889602e-08	-9.706609e-10	0.83395976	769646.44	0.0032669853
1.1646500550275909e-07	-1.3649919e-09	-1.8199891e-08	0.8386859	772296	0.0032684377
1.1647002034286843e-07	1.3831918e-08	-2.9119827e-09	0.8448639	775397.44	0.0032698552
1.164750096510622e-07	-7.583288e-10	9.221278e-09	0.8520983	778870.7	0.0032712228
1.1648002414746517e-07	-5.126303e-09	-4.367974e-09	0.860223	782695.56	0.0032725548
1.1648501291860034e-07	4.7319717e-09	-2.4266522e-09	0.8688151	786773.25	0.0032738368
1.1649000148359603e-07	-9.099946e-11	4.8533044e-09	0.87738407	791058.5	0.0032750755
1.164950152053912e-07	-7.704621e-09	-1.4559913e-09	0.88554573	795506.75	0.0032762766
1.1650000000000109e-07	4.0343093e-09	-9.221278e-09	0.8928081	800000	0.003277428
1.1650501547362727e-07	8.4629495e-09	6.794626e-09	0.8985468	797677.6	0.003278542
1.1651000337977346e-07	-9.827941e-09	7.765287e-09	0.9017811	795404.6	0.0032796063
1.165150163652022e-07	-3.579312e-09	-1.6015905e-08	0.90255284	793192.75	0.0032806315
1.1652000388371129e-07	1.289159e-08	-3.397313e-09	0.9003551	791099.3	0.0032816068
1.165250170665972e-07	4.2466413e-09	8.978613e-09	0.8950059	789135.9	0.0032825433
1.1653000505665628e-07	-1.26185915e-08	2.9119827e-09	0.88724756	787353.06	0.0032834308
1.1653501905256878e-07	-2.0626543e-09	-1.0191939e-08	0.8778242	785761.06	0.0032842772
1.1654000764182693e-07	9.251612e-09	-2.6693174e-09	0.8672606	784401.44	0.003285075
1.165450214397947e-07	-4.6409725e-09	1.9413218e-09	0.8563723	783281.56	0.0032858318
1.165500091869597e-07	4.1253085e-09	-5.8239653e-09	0.8465386	782430.44	0.0032865393
1.1655502257909497e-07	-5.4599675e-10	6.3092958e-09	0.8379019	781852.9	0.0032872052
1.1656001029245078e-07	-1.37636675e-08	-8.978613e-09	0.8311329	781563.9	0.0032878225
1.1656502431853409e-07	3.4883124e-10	-1.4802579e-08	0.82697344	781564.9	0.003288397
1.1657001312359392e-07	1.6501234e-08	-2.183987e-09	0.825507	781856.1	0.0032889238
1.1657500206455647e-07	3.184981e-10	1.6986565e-08	0.8265685	782432.1	0.003289405
1.165800164268636e-07	-2.693584e-08	-1.9413218e-09	0.83040375	783289.06	0.0032898425
1.1658500492459665e-07	0	-2.4023857e-08	0.83680737	784404.56	0.0032902327
1.1659001923711823e-07	1.3316254e-08	-1.067727e-08	0.84497833	785772.5	0.0032905783
1.1659500792317743e-07	1.3346587e-08	0	0.8545904	787357.44	0.0032908763
1.1660002241733952e-07	6.0666303e-09	1.4317248e-08	0.8651943	789150.6	0.0032911305
1.1660501129501582e-07	-1.3043255e-08	8.250617e-09	0.87556756	791105.5	0.0032913368
1.166100252652248e-07	-1.4317248e-08	-1.0191939e-08	0.88512206	793210.8	0.0032914984
1.1661501336860864e-07	1.0252606e-08	-1.9413218e-08	0.8932182	795412.06	0.003291613
